Institution name,Main panel,Unit of assessment number,ICS_GPA
University of East London,C,21.0,2.667
University of Lincoln,A,6.0,3.0
University of Cambridge,A,4.0,3.667
University of Cambridge,A,6.0,3.5
University of Derby,C,20.0,2.333
"University of Nottingham, The",D,29.0,3.667
Brunel University London,B,12.0,2.7220000000000004
University of Cambridge,A,2.0,3.6259999999999994
Brunel University London,B,7.0,3.5
Middlesex University,B,11.0,2.5
Bath Spa University,D,32.0,2.1659999999999995
Edinburgh Napier University,D,32.0,2.5
University of the West of Scotland,C,24.0,2.8339999999999996
University of Oxford,D,28.0,3.45
Loughborough University,B,12.0,3.6
Brunel University London,C,17.0,2.25
Oxford Brookes University,C,13.0,2.5
"University of Nottingham, The",A,5.0,3.2140000000000004
The Open University,C,17.0,3.3340000000000005
Edinburgh Napier University,C,13.0,3.5
Royal College of Music,D,33.0,3.3329999999999997
Edinburgh Napier University,C,24.0,2.8329999999999997
University of Cambridge,A,5.0,3.636
"University of Salford, The",D,33.0,3.5
Birkbeck College,D,32.0,3.667
The Open University,C,23.0,3.0009999999999994
University of Oxford,D,33.0,2.5010000000000003
Heriot-Watt University,D,25.0,3.25
The University of East Anglia,A,5.0,3.4170000000000003
The University of Liverpool,D,34.0,3.8329999999999997
Swansea University / Prifysgol Abertawe,D,26.0,2.5
King's College London,D,28.0,3.7859999999999996
Goldsmiths' College,D,33.0,3.167
Queen's University of Belfast,C,20.0,3.75
University of Greenwich,C,20.0,2.75
Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,D,32.0,2.5
The University of Reading,D,33.0,3.0
Goldsmiths' College,D,32.0,3.5840000000000005
Swansea University / Prifysgol Abertawe,D,27.0,3.3329999999999997
University of Aberdeen,D,30.0,2.25
Courtauld Institute of Art,D,32.0,3.25
University of Stirling,C,20.0,3.25
University of Strathclyde,C,20.0,2.75
The University of Hull,D,27.0,3.5
Goldsmiths' College,D,34.0,3.667
"University of Nottingham, The",D,26.0,3.5
University of Northumbria at Newcastle,C,17.0,3.0
Queen's University of Belfast,C,14.0,2.75
University of St Andrews,D,27.0,3.667
The University of Bradford,B,8.0,2.75
The University of Lancaster,B,7.0,3.8329999999999997
York St John University,C,21.0,1.5
University of Gloucestershire,D,34.0,2.75
Queen Mary University of London,A,3.0,3.375
"University of Salford, The",D,25.0,3.0
Queen Mary University of London,B,9.0,3.125
University of Edinburgh,D,27.0,3.75
University of Oxford,D,26.0,2.7510000000000003
University of Southampton,D,28.0,3.5
Kingston University,D,33.0,3.5
Guildhall School of Music & Drama,D,33.0,4.0
Manchester Metropolitan University,D,27.0,3.7
"Queen Margaret University, Edinburgh",D,34.0,3.5
"University of Salford, The",D,27.0,2.75
Bangor University / Prifysgol Bangor,C,21.0,3.5
The University of Manchester,D,32.0,4.0
The University of Bath,B,8.0,3.5
University of Gloucestershire,C,14.0,2.75
Goldsmiths' College,D,27.0,3.333
University of Sunderland,D,32.0,2.75
University of East London,C,18.0,2.5
University of Southampton,B,8.0,3.5
University of Ulster,D,34.0,3.0
University of Dundee,D,32.0,3.625
University of Southampton,B,9.0,3.5
University of Bristol,D,31.0,2.75
University of Bedfordshire,D,27.0,4.0
University of Glasgow,A,1.0,3.75
University of Cambridge,A,1.0,3.8929999999999993
The University of Leicester,C,19.0,3.25
University of Lincoln,D,27.0,2.5
The University of Liverpool,B,12.0,3.7859999999999996
Queen's University of Belfast,B,10.0,3.75
Oxford Brookes University,D,33.0,2.8339999999999996
University of Cambridge,D,33.0,3.8329999999999997
University of Cambridge,D,30.0,3.5
The University of Bolton,D,32.0,2.75
King's College London,A,5.0,3.0
University of Durham,B,9.0,3.3570000000000007
The University of Huddersfield,C,17.0,2.929
London Metropolitan University,D,32.0,3.667
University of Cambridge,D,27.0,3.5
The University of West London,B,12.0,1.75
University of South Wales / Prifysgol De Cymru,C,20.0,3.1659999999999995
Bangor University / Prifysgol Bangor,D,26.0,3.333
Queen Mary University of London,C,18.0,3.3340000000000005
University of Central Lancashire,D,34.0,3.0
University of Southampton,A,1.0,3.6
"City, University of London",B,11.0,3.5
Manchester Metropolitan University,D,32.0,3.556
University of Exeter,D,27.0,3.4159999999999995
University of Newcastle upon Tyne,A,4.0,3.0
The University of Sheffield,C,17.0,3.611
Queen's University of Belfast,A,3.0,3.444
Cardiff University / Prifysgol Caerdydd,B,11.0,3.625
University of Aberdeen,A,4.0,3.333
University of Strathclyde,B,8.0,3.5
University of Strathclyde,A,3.0,3.8570000000000007
"City, University of London",C,19.0,2.9999999999999996
Harper Adams University,A,6.0,2.625
Queen Mary University of London,B,8.0,3.75
The University of Manchester,A,5.0,3.611
The University of Manchester,A,4.0,3.8570000000000007
De Montfort University,D,27.0,3.5
Cardiff University / Prifysgol Caerdydd,A,3.0,3.055
Cardiff University / Prifysgol Caerdydd,A,4.0,3.7779999999999996
University College London,C,13.0,3.667
"Imperial College of Science, Technology and Medicine",B,10.0,3.7859999999999996
The University of Bradford,B,12.0,2.75
Cardiff University / Prifysgol Caerdydd,C,17.0,3.5
Queen Mary University of London,A,5.0,3.5
Kingston University,B,12.0,2.5
The University of Hull,C,14.0,2.875
The University of Leeds,A,1.0,3.278
The University of Reading,A,3.0,2.7
Aberystwyth University / Prifysgol Aberystwyth,A,6.0,3.286
University College London,A,4.0,3.6439999999999997
Cardiff University / Prifysgol Caerdydd,D,33.0,3.75
Glasgow Caledonian University,A,3.0,3.8570000000000007
University College London,B,10.0,3.429
University of Gloucestershire,C,23.0,2.25
The University of Westminster,B,11.0,3.1659999999999995
De Montfort University,A,3.0,2.4
The London School of Economics and Political Science,C,22.0,3.8329999999999997
"City, University of London",B,10.0,3.75
London South Bank University,C,13.0,3.5
Cardiff University / Prifysgol Caerdydd,A,5.0,3.6430000000000002
The University of Lancaster,B,10.0,4.0
Brunel University London,B,11.0,2.125
University of Southampton,A,5.0,3.625
University of Plymouth,B,12.0,3.1659999999999995
University of Gloucestershire,C,17.0,2.0
The University of Birmingham,B,9.0,3.5
University of Exeter,A,1.0,3.583
The Open University,B,9.0,3.125
University of Edinburgh,A,1.0,3.8079999999999994
University of Edinburgh,A,4.0,4.0
University of Edinburgh,A,6.0,3.545
University of Aberdeen,A,2.0,3.667
Abertay University,D,32.0,3.5
Edinburgh Napier University,A,3.0,3.25
University of Oxford,C,18.0,3.8329999999999997
University of Oxford,C,16.0,3.5
Manchester Metropolitan University,C,20.0,2.875
University of Ulster,C,20.0,3.667
University of Oxford,B,9.0,3.7
University College London,A,5.0,3.364
The University of Warwick,A,1.0,2.333
University of Edinburgh,B,9.0,3.389
The University of Chichester,D,27.0,2.25
The University of East Anglia,A,3.0,3.25
University of Exeter,C,14.0,3.3
The University of Lancaster,C,17.0,3.15
The University of Leeds,B,8.0,3.125
The University of Leeds,B,12.0,3.55
Loughborough University,B,10.0,3.333
Cardiff University / Prifysgol Caerdydd,C,14.0,3.4
The University of Warwick,B,12.0,3.5
University College London,A,3.0,3.2140000000000004
University College London,A,1.0,3.923
Birmingham City University,C,17.0,2.6670000000000003
Queen's University of Belfast,B,12.0,3.388
The University of Liverpool,B,9.0,3.25
University of Southampton,B,12.0,3.75
The University of Manchester,A,1.0,3.7270000000000003
Goldsmiths' College,A,4.0,3.333
The University of Bolton,D,27.0,3.0
University of Edinburgh,C,13.0,3.583
De Montfort University,C,17.0,2.813
Loughborough University,C,14.0,3.8329999999999997
University of Durham,C,15.0,4.0
Birkbeck College,C,18.0,2.625
Oxford Brookes University,D,28.0,2.3329999999999997
University of Durham,C,21.0,3.8329999999999997
University of Bristol,C,20.0,4.0
The University of Liverpool,C,14.0,2.5
The University of Reading,C,17.0,3.5
University of Plymouth,C,13.0,3.5
University of Stirling,A,3.0,3.2
Queen Mary University of London,B,12.0,3.5
Queen Mary University of London,A,2.0,3.5
University of Oxford,C,22.0,3.0
Manchester Metropolitan University,C,24.0,3.2
Middlesex University,D,32.0,3.333
Roehampton University,C,21.0,3.5
Newman University,C,24.0,2.25
Newman University,C,23.0,1.75
Leeds Beckett University,C,20.0,2.333
University of Oxford,B,10.0,3.9
University of Cambridge,C,13.0,3.875
University of Exeter,C,23.0,3.25
"University of the West of England, Bristol",C,13.0,3.2
The University of Surrey,C,17.0,3.5
University of Derby,B,12.0,2.25
"Arts University Bournemouth, the",D,33.0,2.5
University of Suffolk,C,20.0,3.0
University of the Highlands and Islands,D,26.0,2.5
The Open University,C,14.0,3.0
Queen's University of Belfast,C,17.0,2.8339999999999996
University of St Andrews,C,17.0,3.5
Staffordshire University,D,34.0,3.5
University of Chester,C,20.0,2.5
University of South Wales / Prifysgol De Cymru,A,3.0,3.0
The Royal Veterinary College,A,6.0,3.8329999999999997
University of Dundee,A,3.0,3.8329999999999997
University of Edinburgh,C,17.0,3.5
King's College London,C,23.0,3.875
The University of Liverpool,A,2.0,3.625
University of Oxford,C,21.0,3.875
Loughborough University,C,23.0,3.5
Roehampton University,D,31.0,2.75
Kingston University,A,3.0,3.2140000000000004
University of Dundee,C,17.0,2.667
The University of Manchester,C,17.0,3.7
The University of Sheffield,A,1.0,3.8129999999999997
University of Dundee,A,5.0,3.8329999999999997
University of Edinburgh,B,10.0,3.333
The University of Warwick,A,5.0,3.2
King's College London,B,12.0,3.75
Bangor University / Prifysgol Bangor,B,7.0,3.917
University of Aberdeen,D,26.0,3.0
University of Durham,B,11.0,3.667
The University of Leicester,B,12.0,2.667
University of Glasgow,B,12.0,3.2769999999999997
University of Wolverhampton,B,12.0,2.167
University of Keele,B,10.0,2.5
Queen Mary University of London,B,10.0,3.3
University of Edinburgh,B,12.0,3.2090000000000005
Swansea University / Prifysgol Abertawe,B,12.0,3.1659999999999995
Aston University,B,12.0,2.563
The University of Bath,A,3.0,3.5
Aberystwyth University / Prifysgol Aberystwyth,B,10.0,2.75
Bangor University / Prifysgol Bangor,B,12.0,3.0
University of Exeter,A,4.0,3.75
University of Keele,B,12.0,3.333
The University of Leeds,C,14.0,3.6
The Open University,C,20.0,3.7
The University of Essex,D,28.0,3.0
The University of Leicester,D,34.0,3.75
The University of Surrey,B,12.0,3.15
"University of Nottingham, The",C,16.0,3.667
Kingston University,C,19.0,3.25
University of Strathclyde,C,17.0,3.389
University of Newcastle upon Tyne,D,34.0,3.875
University College London,C,23.0,3.923
University of the West of Scotland,B,12.0,2.1659999999999995
University of Cambridge,B,10.0,3.7779999999999996
University College London,A,2.0,3.95
University of Glasgow,D,28.0,3.8
University of Oxford,C,17.0,3.6430000000000002
University of Plymouth,A,3.0,2.875
Middlesex University,D,33.0,2.8329999999999997
University of Southampton,A,4.0,4.0
The University of Kent,C,14.0,3.25
The Open University,A,3.0,2.9999999999999996
Royal Holloway and Bedford New College,C,14.0,3.5
The University of Westminster,D,34.0,3.667
Royal Holloway and Bedford New College,D,28.0,3.5
Loughborough University,C,24.0,3.7859999999999996
King's College London,A,1.0,3.65
Leeds Beckett University,C,24.0,3.667
The University of Kent,B,11.0,3.5
University of Plymouth,B,7.0,3.3
The University of Kent,A,5.0,3.8329999999999997
University of Southampton,A,3.0,3.8
Cardiff University / Prifysgol Caerdydd,B,12.0,3.5629999999999997
The University of Surrey,B,10.0,2.6670000000000003
AECC University College,A,3.0,2.25
University of Glasgow,D,26.0,2.0
"University of Nottingham, The",C,17.0,3.1669999999999994
University of Bristol,D,33.0,3.3339999999999996
King's College London,C,21.0,3.333
The University of Westminster,D,32.0,4.0
Cardiff University / Prifysgol Caerdydd,D,28.0,3.25
University of Wolverhampton,D,34.0,3.25
University of York,B,7.0,3.8329999999999997
Oxford Brookes University,D,32.0,3.0
The University of Leeds,B,7.0,3.444
University of Bristol,B,8.0,3.8
University of Ulster,B,12.0,3.625
The University of Manchester,B,7.0,3.75
University of Cambridge,C,19.0,3.25
University of Bristol,D,26.0,3.5
De Montfort University,C,18.0,1.3339999999999999
University of Strathclyde,D,27.0,3.5
"Solent University, Southampton",D,34.0,1.5
University of Glasgow,B,7.0,3.0
The University of Kent,D,28.0,4.0
The University of Manchester,C,21.0,3.5
The University of Warwick,D,27.0,3.25
University of Keele,C,20.0,2.8339999999999996
School of Oriental and African Studies,C,22.0,2.625
Goldsmiths' College,B,11.0,3.0
King's College London,B,11.0,3.75
The University of Liverpool,B,11.0,2.125
University of Oxford,D,30.0,2.8759999999999994
University of Lincoln,B,11.0,3.8329999999999997
"Imperial College of Science, Technology and Medicine",C,14.0,3.875
Buckinghamshire New University,C,24.0,2.25
The University of Birmingham,D,26.0,3.1659999999999995
University of Glasgow,B,11.0,4.0
Queen Mary University of London,D,26.0,3.333
London Business School,C,17.0,3.1879999999999997
Buckinghamshire New University,D,32.0,3.75
Queen's University of Belfast,D,28.0,2.9999999999999996
University of St Andrews,B,7.0,3.5
The University of Warwick,C,19.0,3.5
University of Sunderland,D,34.0,2.75
University of Durham,A,4.0,3.0
University of Aberdeen,A,1.0,2.833
University of Southampton,D,26.0,3.3329999999999997
The University of Reading,D,27.0,2.5
University of Sunderland,A,3.0,2.333
The University of Bath,C,17.0,3.429
The London School of Economics and Political Science,C,17.0,3.375
King's College London,B,8.0,4.0
University of Exeter,C,19.0,3.4
Leeds Beckett University,C,17.0,2.5
University of Oxford,D,29.0,3.428000000000001
"University of the West of England, Bristol",D,27.0,2.25
The University of Leicester,D,28.0,3.667
University of Oxford,C,14.0,3.5629999999999997
University of Winchester,C,20.0,2.25
Middlesex University,C,20.0,2.375
University of Bristol,B,10.0,3.7859999999999996
University of Sussex,C,22.0,3.667
The University of Reading,A,5.0,1.75
University of East London,A,4.0,2.6670000000000003
The University of Liverpool,C,17.0,3.5
Sheffield Hallam University,A,5.0,2.5
Aston University,A,3.0,3.2509999999999994
University of Southampton,A,2.0,3.5
Oxford Brookes University,A,5.0,3.5
University of Strathclyde,B,11.0,3.333
University College London,B,8.0,3.7
Coventry University,B,12.0,2.278
University College London,B,12.0,3.7270000000000003
University of Aberdeen,B,10.0,2.5
"University of Northampton, The",B,12.0,2.0
University of Gloucestershire,B,12.0,1.5
University of Durham,B,8.0,3.5
University of Aberdeen,B,7.0,3.286
University of Brighton,C,20.0,3.125
"University of Nottingham, The",C,14.0,3.0
Anglia Ruskin University Higher Education Corporation,A,4.0,3.0
University of Chester,A,3.0,3.0
Queen's University of Belfast,C,18.0,4.0
University of Newcastle upon Tyne,A,1.0,3.556
Queen Mary University of London,A,1.0,3.5
University of Bedfordshire,D,34.0,2.25
The University of Huddersfield,B,8.0,2.167
University of Winchester,C,15.0,1.5
University of Cambridge,C,15.0,4.0
University of St Andrews,D,29.0,2.9999999999999996
University of Oxford,C,15.0,3.875
University of Sussex,A,1.0,3.0
University of Wolverhampton,D,32.0,3.25
King's College London,C,19.0,3.5
University of the Highlands and Islands,C,15.0,3.5
University of Exeter,B,9.0,2.875
The University of Lancaster,B,9.0,3.1
The University of Bath,B,11.0,3.167
Oxford Brookes University,B,11.0,3.0
"University of the West of England, Bristol",D,32.0,3.1659999999999995
Norwich University of the Arts,D,32.0,3.0
Goldsmiths' College,C,23.0,1.75
The University of Manchester,A,2.0,3.3569999999999998
University of St Andrews,C,14.0,3.333
University of East London,C,13.0,2.5
University of Durham,B,12.0,3.625
University of Oxford,B,7.0,3.5
University of Edinburgh,B,7.0,3.667
King's College London,C,18.0,3.167
University of Exeter,D,25.0,4.0
University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,D,32.0,3.0
University of Newcastle upon Tyne,B,11.0,3.75
Aberystwyth University / Prifysgol Aberystwyth,B,9.0,2.25
The University of Hull,B,9.0,3.5
The University of Sheffield,B,12.0,3.7279999999999998
University of East London,D,32.0,2.25
University of York,B,9.0,3.6
Birmingham City University,B,11.0,2.168
Roehampton University,D,33.0,4.0
Leeds Beckett University,D,33.0,2.167
University College London,B,11.0,3.8129999999999997
The University of Bradford,B,11.0,3.0
Brunel University London,B,10.0,2.6660000000000004
University of Hertfordshire,B,11.0,3.5
Aberystwyth University / Prifysgol Aberystwyth,B,11.0,3.333
Bournemouth University,C,14.0,3.333
Swansea University / Prifysgol Abertawe,A,3.0,3.5
University of Bristol,B,12.0,3.7220000000000004
University of Greenwich,C,17.0,3.0
University of Sussex,A,5.0,3.3
University of Durham,B,10.0,3.167
University of Exeter,A,5.0,3.563
Aston University,D,26.0,3.0
Nottingham Trent University,D,27.0,3.25
University of Hertfordshire,A,6.0,3.75
The University of Manchester,D,26.0,3.7
University of Newcastle upon Tyne,A,3.0,3.75
University of Southampton,C,14.0,3.625
King's College London,A,3.0,3.8640000000000003
King's College London,C,17.0,3.5009999999999994
Leeds Beckett University,C,18.0,1.75
The London School of Economics and Political Science,C,20.0,4.0
Kingston University,C,23.0,3.25
University of Ulster,C,13.0,3.4
University of Oxford,A,5.0,3.7079999999999997
University of Sunderland,C,20.0,4.0
University of Northumbria at Newcastle,D,32.0,3.1879999999999997
University of Chester,D,32.0,2.75
University of St Andrews,D,33.0,2.5
School of Oriental and African Studies,D,26.0,3.3339999999999996
Birmingham City University,D,32.0,3.0
The University of Leeds,D,26.0,3.4290000000000003
Glasgow Caledonian University,B,12.0,1.9999999999999998
University of York,B,12.0,3.5
"Imperial College of Science, Technology and Medicine",B,12.0,3.8670000000000004
University of York,A,2.0,3.9290000000000003
The University of Hull,B,11.0,3.5
University of Oxford,A,1.0,3.8440000000000003
University of Durham,C,14.0,3.5
The University of Birmingham,D,27.0,3.4170000000000003
Buckinghamshire New University,A,3.0,2.5
Manchester Metropolitan University,C,23.0,3.5
University of York,A,5.0,3.3329999999999997
Edinburgh Napier University,B,11.0,4.0
Birkbeck College,D,27.0,4.0
De Montfort University,D,32.0,2.8329999999999997
Robert Gordon University,A,3.0,2.8329999999999997
University of Cambridge,C,16.0,3.875
Queen's University of Belfast,A,2.0,2.625
Manchester Metropolitan University,C,17.0,3.5
The University of Bolton,A,4.0,1.5
University of Sussex,C,17.0,3.375
University of Lincoln,C,17.0,2.8329999999999997
Bournemouth University,D,32.0,3.3329999999999997
"Imperial College of Science, Technology and Medicine",B,8.0,3.4
The University of Leeds,A,4.0,3.5
School of Oriental and African Studies,D,25.0,3.75
University of Glasgow,C,19.0,3.25
University of Edinburgh,D,26.0,3.1430000000000002
The University of Leicester,C,17.0,3.375
Swansea University / Prifysgol Abertawe,A,2.0,2.75
University of Cambridge,C,18.0,3.5
University of Durham,C,18.0,3.7
University of Dundee,C,18.0,2.5
Goldsmiths' College,C,21.0,3.0
University of Greenwich,D,27.0,1.75
Royal College of Art(The),D,32.0,3.055
University of St Andrews,B,10.0,3.75
The University of Huddersfield,D,33.0,2.25
University of Oxford,D,25.0,3.2140000000000004
The University of Lancaster,D,28.0,3.5
University of Sussex,D,34.0,3.5
University of Durham,D,33.0,3.0
The University of Warwick,C,18.0,3.375
The University of Kent,C,18.0,3.875
University of Bristol,A,2.0,3.9440000000000004
University of Bristol,A,4.0,3.0
University of Bristol,B,9.0,3.6
The University of Kent,D,31.0,4.0
University of Cambridge,D,28.0,2.9989999999999997
University of Wolverhampton,D,25.0,3.5
De Montfort University,D,34.0,2.75
The University of Essex,D,32.0,3.5
University of Hertfordshire,B,12.0,3.1659999999999995
University of Oxford,A,4.0,3.9
Swansea University / Prifysgol Abertawe,B,9.0,3.167
University of the West of Scotland,C,20.0,2.4
Nottingham Trent University,C,17.0,2.9
The University of Manchester,C,16.0,3.625
University of Greenwich,D,28.0,1.5
The University of Sheffield,D,33.0,3.25
King's College London,C,14.0,3.5
Goldsmiths' College,D,28.0,3.5
University of Sussex,D,28.0,3.8329999999999997
University of Keele,A,5.0,3.25
University of Sussex,C,14.0,3.8329999999999997
Birmingham City University,D,33.0,3.333
University of St Andrews,D,26.0,3.5
University of Bedfordshire,B,11.0,2.5
The University of Birmingham,C,17.0,3.445
Loughborough University,C,17.0,3.2219999999999995
Liverpool Hope University,C,19.0,1.5
University of Southampton,C,18.0,3.1659999999999995
The University of Leicester,A,4.0,3.75
University of Edinburgh,C,19.0,3.8
University of Newcastle upon Tyne,C,14.0,3.5
University of Central Lancashire,C,17.0,3.5
University of Lincoln,B,10.0,1.25
Queen's University of Belfast,B,8.0,3.8329999999999997
University of Cambridge,C,22.0,3.0
University of Derby,C,17.0,2.167
University of Exeter,C,21.0,3.625
University of Stirling,D,30.0,3.25
University of Central Lancashire,B,10.0,0.0
University of Cambridge,C,17.0,3.6
University of Winchester,A,4.0,1.6669999999999998
University College London,B,7.0,3.4
University of Strathclyde,C,13.0,4.0
University of Gloucestershire,C,21.0,2.75
The University of Bolton,C,17.0,1.5
Queen Mary University of London,C,19.0,3.75
The University of Manchester,B,8.0,3.5
University of Central Lancashire,D,32.0,3.5
University of Exeter,B,12.0,3.0829999999999997
University of Newcastle upon Tyne,C,17.0,2.944
"Imperial College of Science, Technology and Medicine",A,5.0,3.286
Leeds Beckett University,D,32.0,2.8339999999999996
University of Southampton,D,27.0,3.8329999999999997
University of Cambridge,D,26.0,3.389
University of Cambridge,B,8.0,3.8329999999999997
University of Cambridge,D,29.0,2.9
"City, University of London",D,33.0,3.25
University of Aberdeen,D,28.0,2.4999999999999996
University of Greenwich,B,8.0,3.75
University of Dundee,D,27.0,3.5
University of Northumbria at Newcastle,A,3.0,3.055
Leeds Beckett University,D,27.0,2.0
University of Lincoln,D,34.0,2.5
University of Edinburgh,C,18.0,3.5840000000000005
The University of Leeds,C,24.0,3.333
The University of Leeds,A,5.0,3.2140000000000004
University of Oxford,C,20.0,3.5
Ravensbourne University London,D,32.0,2.25
The University of Liverpool,C,15.0,3.25
University of Derby,D,32.0,2.5
King's College London,C,24.0,4.0
Queen Mary University of London,B,11.0,4.0
University of Cambridge,B,9.0,3.8890000000000002
The University of East Anglia,D,27.0,3.5
London Metropolitan University,B,10.0,4.0
The University of Chichester,C,17.0,1.75
Coventry University,C,19.0,3.625
University of Winchester,C,18.0,
University of Sussex,D,27.0,3.5
Loughborough University,D,34.0,4.0
University of Glasgow,D,27.0,3.2
Royal Conservatoire of Scotland,D,33.0,3.667
University of Edinburgh,D,32.0,3.428000000000001
The University of Sheffield,D,27.0,3.625
York St John University,D,26.0,3.0
University of Strathclyde,D,28.0,3.75
Bishop Grosseteste University,C,23.0,1.1669999999999998
Middlesex University,C,18.0,3.3329999999999997
University of Central Lancashire,D,25.0,2.5
The University of Warwick,C,21.0,3.125
Liverpool Hope University,C,23.0,1.9999999999999998
University of Newcastle upon Tyne,C,21.0,2.8339999999999996
Middlesex University,C,24.0,3.25
Cardiff University / Prifysgol Caerdydd,A,1.0,3.214
University of Northumbria at Newcastle,A,4.0,3.2
The University of Westminster,D,26.0,2.6670000000000003
The University of Liverpool,D,27.0,3.75
University of Durham,D,27.0,3.5
University of Durham,C,22.0,3.667
Birmingham City University,D,34.0,3.667
Nottingham Trent University,D,34.0,3.5
Bath Spa University,D,28.0,3.0
The University of Westminster,D,28.0,1.75
Brunel University London,D,33.0,2.3329999999999997
The University of Reading,D,26.0,3.5
University of Durham,C,17.0,3.5
The University of Reading,C,23.0,2.75
The University of Warwick,A,2.0,3.6670000000000003
London South Bank University,C,24.0,2.75
Cardiff University / Prifysgol Caerdydd,D,27.0,3.9
University of York,D,32.0,4.0
Bangor University / Prifysgol Bangor,C,24.0,3.75
The University of Kent,C,20.0,3.8329999999999997
University of Northumbria at Newcastle,C,18.0,3.25
Cardiff University / Prifysgol Caerdydd,C,13.0,3.667
University of Stirling,A,6.0,4.0
The University of Sheffield,C,23.0,4.0
The University of Liverpool,D,26.0,3.8329999999999997
The University of Reading,C,22.0,3.75
The University of Birmingham,A,5.0,3.4
University of Durham,C,24.0,3.75
Swansea University / Prifysgol Abertawe,C,19.0,3.333
"University of Nottingham, The",C,22.0,3.0
Bournemouth University,C,20.0,2.167
The University of Bath,C,19.0,3.167
The University of Birmingham,C,22.0,3.75
The University of Leeds,C,19.0,3.375
Royal Holloway and Bedford New College,C,19.0,3.5
University of Edinburgh,D,28.0,3.25
Teesside University,A,3.0,3.2
The University of Birmingham,D,30.0,3.5
The University of Birmingham,D,29.0,3.0
"University of Nottingham, The",A,6.0,3.1669999999999994
The University of Huddersfield,D,34.0,3.25
University College London,D,25.0,4.0
Nottingham Trent University,A,4.0,3.6
The University of Essex,C,16.0,3.2
University of Winchester,C,24.0,2.25
University of Central Lancashire,A,4.0,3.0
University of Glasgow,C,14.0,4.0
York St John University,D,33.0,3.25
The University of Lancaster,C,18.0,3.875
The University of Sheffield,A,2.0,3.8329999999999997
Nottingham Trent University,C,24.0,3.0
The University of Westminster,C,18.0,2.8329999999999997
The University of Hull,A,3.0,3.8
