Institution name,Main panel,Unit of assessment number,ICS_GPA
The University of Sheffield,D,26.0,2.9999999999999996
The University of Bath,B,10.0,3.3
The University of Sheffield,C,18.0,2.9999999999999996
Kingston University,C,17.0,2.75
De Montfort University,C,20.0,3.333
Leeds Beckett University,A,3.0,3.1659999999999995
University of Ulster,A,4.0,3.667
University of Oxford,C,23.0,4.0
University of Dundee,C,23.0,2.5
Abertay University,B,12.0,3.167
The University of Reading,C,13.0,3.6
University of Hertfordshire,A,3.0,3.6670000000000003
The University of Essex,C,17.0,3.056
Brunel University London,C,16.0,2.25
The University of Sheffield,C,21.0,2.875
University of Winchester,D,33.0,2.75
Stranmillis University College,C,23.0,2.25
"City, University of London",A,3.0,3.667
Bath Spa University,D,27.0,3.1659999999999995
The University of Sheffield,D,28.0,2.625
The University of Manchester,D,27.0,3.75
Liverpool Hope University,D,32.0,1.5
The University of Warwick,D,29.0,3.75
Cardiff University / Prifysgol Caerdydd,D,26.0,3.667
Royal Holloway and Bedford New College,B,7.0,2.6670000000000003
The University of East Anglia,D,34.0,3.3329999999999997
University of Bedfordshire,C,24.0,2.75
Royal Holloway and Bedford New College,C,16.0,3.3329999999999997
Leeds Beckett University,C,13.0,2.8339999999999996
University of Dundee,C,14.0,3.5
Abertay University,A,4.0,2.5
University of Bristol,C,18.0,3.8
University of Ulster,C,14.0,3.5
University of Brighton,A,3.0,3.389
"Queen Margaret University, Edinburgh",C,17.0,2.25
London Metropolitan University,D,25.0,3.667
Bournemouth University,D,34.0,3.667
University of York,D,30.0,4.0
Abertay University,C,18.0,1.5
"University of the West of England, Bristol",C,18.0,3.5
The University of Surrey,C,18.0,1.6669999999999998
Anglia Ruskin University Higher Education Corporation,D,33.0,4.0
The University of Hull,C,17.0,3.0
"University of Northampton, The",A,5.0,2.0
The University of Birmingham,A,1.0,3.5909999999999997
Abertay University,C,21.0,2.25
University of Brighton,D,34.0,3.1
Roehampton University,A,4.0,3.667
University of Central Lancashire,A,3.0,3.0
Bath Spa University,A,4.0,2.0
University of Durham,A,5.0,3.125
The University of Reading,C,19.0,3.0
University of Plymouth,A,4.0,3.5
University of York,C,16.0,3.375
University of Gloucestershire,D,28.0,1.0
University of York,B,10.0,3.375
The University of Liverpool,B,8.0,3.875
University of East London,C,23.0,2.25
University of Bristol,A,1.0,3.7140000000000004
Liverpool Hope University,C,20.0,2.333
The University of Birmingham,D,28.0,3.25
"Queen Margaret University, Edinburgh",D,26.0,3.0
Oxford Brookes University,A,3.0,2.8329999999999997
King's College London,D,34.0,3.8
University of Glasgow,A,3.0,3.5
King's College London,D,31.0,3.5
University College London,C,15.0,3.4
"University of Nottingham, The",D,27.0,3.75
University of Durham,D,28.0,3.3
The University of Westminster,C,19.0,3.8329999999999997
The Open University,C,18.0,2.6670000000000003
University College London,D,29.0,3.5
University of Edinburgh,C,21.0,3.3329999999999997
University of Exeter,B,10.0,3.875
University of Lincoln,D,32.0,3.25
"Imperial College of Science, Technology and Medicine",B,9.0,3.444
The University of Manchester,C,14.0,3.125
University of Exeter,B,7.0,3.75
The University of Manchester,D,30.0,3.75
Institute of Cancer Research: Royal Cancer Hospital (The),A,1.0,3.667
University of Keele,C,18.0,3.0
The University of Liverpool,C,20.0,3.1659999999999995
The University of Essex,C,18.0,3.6430000000000002
Loughborough University,B,8.0,2.8339999999999996
University of Strathclyde,C,23.0,2.6670000000000003
University of Gloucestershire,C,24.0,2.75
Canterbury Christ Church University,D,34.0,3.25
Edge Hill University,C,14.0,1.75
University of Keele,D,28.0,1.75
"University of the West of England, Bristol",C,17.0,2.9
University of Exeter,A,2.0,3.5
University of Edinburgh,B,11.0,4.0
University of Stirling,D,34.0,3.0
The University of Birmingham,D,32.0,3.75
Edge Hill University,C,20.0,2.25
Leeds Arts University,D,32.0,1.6669999999999998
The University of East Anglia,C,16.0,3.1659999999999995
University of Sussex,B,10.0,3.1659999999999995
The University of Birmingham,C,19.0,3.25
The University of East Anglia,D,30.0,3.25
University of Glasgow,C,18.0,3.4
Teesside University,C,20.0,2.8329999999999997
Leeds Beckett University,A,4.0,3.333
"University of the Arts, London",D,32.0,3.25
University of Northumbria at Newcastle,D,27.0,3.375
University of Central Lancashire,D,28.0,3.0
The London School of Economics and Political Science,D,28.0,2.5
University of St Andrews,C,19.0,3.25
The University of Kent,A,3.0,2.6670000000000003
The University of Chichester,B,12.0,2.25
University of Sussex,B,9.0,3.125
University of Glasgow,B,8.0,2.875
Royal Holloway and Bedford New College,B,9.0,2.5
The University of Sheffield,B,11.0,3.7
The University of Bath,B,9.0,3.625
Brunel University London,C,22.0,2.5
University of Glasgow,A,5.0,3.0
Nottingham Trent University,A,3.0,3.0
University of St Andrews,B,9.0,3.5
University of Hertfordshire,B,9.0,3.5
University of Bristol,A,5.0,3.25
"University of Nottingham, The",A,1.0,3.333
The University of Essex,A,5.0,3.25
The University of Reading,B,7.0,3.7140000000000004
The University of Bradford,C,19.0,3.0
Glasgow Caledonian University,C,17.0,3.167
Swansea University / Prifysgol Abertawe,C,24.0,3.5
Birmingham City University,A,3.0,3.5
University of Cambridge,B,12.0,3.8179999999999996
The University of Surrey,C,21.0,3.333
Glasgow Caledonian University,B,11.0,2.5
The University of East Anglia,B,11.0,3.333
University of Hertfordshire,D,28.0,3.5
University of Plymouth,C,17.0,2.667
University of York,C,19.0,3.25
University of Sussex,C,19.0,3.333
The University of Hull,D,33.0,3.0
University of Hertfordshire,D,32.0,3.0
Roehampton University,D,27.0,3.1659999999999995
University of Stirling,C,23.0,3.667
The University of Westminster,A,4.0,2.5
Manchester Metropolitan University,B,7.0,3.75
University of Plymouth,D,32.0,2.25
University of Chester,A,5.0,2.25
The University of Leicester,C,14.0,2.5
University of Edinburgh,D,29.0,3.125
King's College London,D,29.0,3.8329999999999997
The University of Cumbria,C,14.0,2.75
University of Aberdeen,C,19.0,2.75
Bangor University / Prifysgol Bangor,C,17.0,2.9999999999999996
University of Southampton,C,17.0,3.572
Cardiff University / Prifysgol Caerdydd,C,15.0,3.75
University of York,C,15.0,3.167
Leeds Trinity University,D,33.0,1.25
University College London,D,26.0,3.5829999999999997
The University of Manchester,B,11.0,3.7
The University of Bradford,A,4.0,1.5
The Open University,B,12.0,2.6670000000000003
University College London,D,32.0,3.75
The Metanoia Institute,A,4.0,1.0
London School of Hygiene and Tropical Medicine,A,2.0,3.75
Nottingham Trent University,C,14.0,2.5
The University of Sheffield,A,5.0,3.75
University of Lincoln,C,23.0,2.75
Swansea University / Prifysgol Abertawe,D,28.0,3.667
The University of Manchester,D,28.0,3.75
The University of Surrey,B,9.0,3.3329999999999997
University of Southampton,B,11.0,4.0
University of Lincoln,C,15.0,
Abertay University,A,3.0,2.25
Cranfield University,B,12.0,3.25
The University of Leeds,C,21.0,3.5
The University of Kent,D,27.0,3.5
The London School of Economics and Political Science,B,10.0,3.625
Coventry University,B,10.0,2.75
The University of West London,C,20.0,3.5
"Imperial College of Science, Technology and Medicine",A,1.0,3.7329999999999997
Birkbeck College,C,14.0,1.25
University of Northumbria at Newcastle,D,28.0,2.5
Bournemouth University,A,3.0,3.1659999999999995
University of Stirling,C,17.0,3.3
The University of Sheffield,D,34.0,3.75
University of Exeter,D,26.0,3.5
"St Mary's University, Twickenham",D,27.0,2.75
The Open University,D,29.0,3.5
Leeds Beckett University,D,34.0,2.25
Middlesex University,C,17.0,3.7859999999999996
Buckinghamshire New University,C,23.0,1.25
The University of Birmingham,C,20.0,3.25
University of Chester,C,23.0,2.0
"City, University of London",C,21.0,3.75
University of Stirling,C,14.0,3.5
The University of Westminster,C,13.0,3.5
Bournemouth University,B,11.0,2.75
Sheffield Hallam University,D,27.0,3.3329999999999997
London South Bank University,D,34.0,3.5
University of Newcastle upon Tyne,C,20.0,3.5
Rose Bruford College of Theatre and Performance,D,33.0,2.0
The University of Essex,B,10.0,2.8329999999999997
"University of Northampton, The",A,2.0,1.75
University of Bedfordshire,C,17.0,3.0
University of Aberdeen,C,21.0,2.5
University of Northumbria at Newcastle,C,20.0,3.3329999999999997
The University of Chichester,D,33.0,2.75
University of the West of Scotland,D,34.0,1.75
Bath Spa University,C,23.0,3.1659999999999995
The University of Bath,B,12.0,3.556
Kingston University,A,4.0,3.0
The University of Leeds,D,32.0,3.7
Queen's University of Belfast,D,27.0,2.625
The University of Lancaster,D,32.0,3.75
Oxford Brookes University,C,23.0,3.25
York St John University,D,32.0,2.0
University of Sunderland,D,27.0,3.25
Bangor University / Prifysgol Bangor,D,27.0,2.25
Leeds Trinity University,D,27.0,3.0
Queen Mary University of London,D,27.0,3.125
Newman University,D,28.0,1.5
The University of Lancaster,D,31.0,3.375
The University of Leicester,C,20.0,3.25
"City, University of London",C,18.0,2.167
University of Keele,A,4.0,3.5
"University of the West of England, Bristol",B,11.0,3.5
University of Chester,B,12.0,1.25
Royal Holloway and Bedford New College,B,11.0,3.5
University of Edinburgh,A,5.0,3.611
Edge Hill University,D,27.0,3.0
The University of Manchester,D,29.0,4.0
"Queen Margaret University, Edinburgh",C,21.0,1.75
The University of Cumbria,D,32.0,2.75
School of Oriental and African Studies,D,33.0,4.0
Teesside University,D,32.0,3.625
University of Sussex,D,25.0,3.5
Brunel University London,A,3.0,3.083
The University of Cumbria,C,17.0,2.25
"University of Salford, The",B,12.0,3.333
The University of Leicester,A,1.0,3.75
De Montfort University,B,11.0,1.9
University of East London,B,11.0,3.25
The University of West London,B,11.0,1.0
Trinity Laban Conservatoire of Music and Dance,D,33.0,3.5
Coventry University,D,33.0,3.3339999999999996
The University of Chichester,A,4.0,1.5
The University of East Anglia,B,10.0,3.5
The University of Chichester,C,20.0,
King's College London,B,9.0,2.8329999999999997
University of the West of Scotland,B,11.0,2.5
Coventry University,C,17.0,3.0840000000000005
York St John University,C,14.0,0.5
"St Mary's University, Twickenham",D,31.0,3.0
University of St Andrews,C,22.0,3.0
Birmingham City University,C,21.0,2.0
University of East London,D,33.0,2.25
School of Oriental and African Studies,D,34.0,3.25
School of Oriental and African Studies,C,19.0,3.667
Bishop Grosseteste University,D,27.0,2.5
University of Southampton,B,7.0,3.5
Glasgow School of Art,D,32.0,3.5
University of Durham,C,23.0,4.0
Edge Hill University,C,18.0,3.5
The University of Leeds,D,33.0,3.167
Canterbury Christ Church University,C,24.0,3.5
University of the West of Scotland,C,17.0,2.1659999999999995
University of Wolverhampton,C,13.0,2.25
"University of Salford, The",C,17.0,3.25
University of Plymouth,C,14.0,2.8339999999999996
The University of Kent,A,4.0,3.25
University of Exeter,D,29.0,3.667
University of Southampton,C,19.0,3.167
Oxford Brookes University,D,27.0,3.8329999999999997
Birkbeck College,C,16.0,3.1659999999999995
University of Cambridge,D,31.0,3.375
The University of East Anglia,C,18.0,2.667
The University of Bradford,A,3.0,3.0
University of Greenwich,B,12.0,3.0
University of Sussex,B,12.0,2.9999999999999996
"City, University of London",B,12.0,2.25
University of Aberdeen,B,12.0,2.416
University of Chester,C,17.0,3.25
Nottingham Trent University,B,11.0,3.0
University of Exeter,C,17.0,3.7140000000000004
The University of Westminster,C,20.0,3.0
University College London,C,16.0,3.125
The University of Sheffield,C,19.0,3.5
Kingston University,D,32.0,3.625
The University of Huddersfield,C,20.0,3.25
The Open University,D,32.0,3.667
University of Brighton,D,32.0,3.3
Kingston University,D,30.0,1.75
"City, University of London",C,17.0,3.6109999999999998
University of St Andrews,C,16.0,2.6670000000000003
Birkbeck College,C,17.0,3.2
University of Hertfordshire,C,17.0,3.5
The University of Bath,C,16.0,2.5
Anglia Ruskin University Higher Education Corporation,C,18.0,2.25
University of Derby,C,23.0,3.1659999999999995
Bath Spa University,C,17.0,3.25
University of Edinburgh,C,23.0,3.4159999999999995
The University of Surrey,A,3.0,3.444
University of Glasgow,C,23.0,3.75
Birmingham City University,D,27.0,4.0
Teesside University,B,12.0,2.5
Anglia Ruskin University Higher Education Corporation,A,3.0,3.1
Bath Spa University,D,33.0,3.0
De Montfort University,A,4.0,2.75
The University of Manchester,D,25.0,3.0
University College London,C,18.0,3.9
Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,C,24.0,3.0
Cardiff University / Prifysgol Caerdydd,B,7.0,3.375
Queen's University of Belfast,A,6.0,3.8329999999999997
King's College London,A,4.0,3.923
Birkbeck College,D,26.0,3.1659999999999995
University of Exeter,D,33.0,3.75
Robert Gordon University,D,32.0,1.75
The University of Chichester,D,31.0,
The University of East Anglia,A,4.0,3.333
University of South Wales / Prifysgol De Cymru,B,10.0,1.5
Coventry University,C,14.0,2.6
Nottingham Trent University,C,13.0,3.0
Canterbury Christ Church University,C,18.0,2.8339999999999996
University of Lincoln,C,18.0,3.0
University of Winchester,C,23.0,2.8339999999999996
Liverpool Hope University,A,4.0,3.5
Birmingham City University,A,4.0,1.9989999999999997
Aberystwyth University / Prifysgol Aberystwyth,C,19.0,3.167
University of Bristol,C,24.0,3.75
Aston University,B,11.0,2.6670000000000003
University of Bedfordshire,B,12.0,1.75
University of Lincoln,A,3.0,3.667
"University of Nottingham, The",A,2.0,4.0
The University of Leeds,A,2.0,2.875
University of Chester,C,24.0,3.0
The University of Essex,B,11.0,3.8329999999999997
University of Chester,B,8.0,2.0
Swansea University / Prifysgol Abertawe,B,7.0,3.333
The University of Birmingham,A,2.0,4.0
University of Glasgow,A,6.0,3.5
University of Dundee,B,12.0,3.5
Queen's University of Belfast,B,9.0,2.75
The University of Leicester,A,5.0,3.9
Canterbury Christ Church University,A,5.0,2.5
Swansea University / Prifysgol Abertawe,B,8.0,3.0
The University of Reading,B,8.0,3.5
The University of Liverpool,A,1.0,3.5
University of Central Lancashire,C,18.0,2.75
University of St Andrews,A,1.0,3.5
University of St Andrews,B,8.0,3.429
University of Strathclyde,B,10.0,3.5
The University of Reading,A,6.0,2.75
"University of Salford, The",A,3.0,3.1659999999999995
University of Strathclyde,B,9.0,3.75
University of York,D,27.0,3.625
University of Northumbria at Newcastle,B,11.0,2.5
University of Chester,B,11.0,2.25
"University of the West of England, Bristol",D,28.0,2.75
University of Wolverhampton,B,11.0,1.25
The University of Reading,D,29.0,3.0
University College London,C,20.0,3.75
King's College London,D,27.0,3.4
The University of Birmingham,C,24.0,3.75
Bournemouth University,C,24.0,3.125
University of Cambridge,C,21.0,3.667
Sheffield Hallam University,C,13.0,3.625
The University of Leeds,B,10.0,3.5
University of Cambridge,D,25.0,2.875
The University of Huddersfield,D,27.0,3.75
University of Newcastle upon Tyne,B,8.0,4.0
School of Oriental and African Studies,C,18.0,3.167
University of Sussex,C,21.0,4.0
University of Edinburgh,D,30.0,2.6670000000000003
University of Derby,B,11.0,2.25
Brunel University London,D,27.0,3.0
The University of Chichester,D,28.0,3.0
Birkbeck College,C,19.0,3.25
Aston University,C,17.0,3.1259999999999994
University of Greenwich,D,32.0,2.8329999999999997
De Montfort University,D,33.0,3.0
University of Hertfordshire,A,4.0,4.0
University of Edinburgh,C,22.0,3.0
Brunel University London,C,18.0,3.25
The University of Kent,D,29.0,4.0
University of Lincoln,D,33.0,3.0
Bishop Grosseteste University,A,4.0,1.5
The University of Westminster,C,17.0,3.75
The University of West London,A,3.0,3.0
University of Bristol,C,14.0,3.75
"University of Northampton, The",C,17.0,2.8329999999999997
The University of Surrey,D,33.0,3.25
The University of Leeds,A,6.0,2.8329999999999997
University of Oxford,A,2.0,3.8329999999999997
University of Stirling,B,11.0,2.75
University of Ulster,D,26.0,3.5
St. George's Hospital Medical School,A,1.0,3.7140000000000004
King's College London,A,2.0,3.75
Staffordshire University,D,32.0,3.5
Hartpury University,C,24.0,2.25
The University of Lancaster,A,3.0,3.429
Liverpool Hope University,C,14.0,1.5
The University of Chichester,C,23.0,1.5
London South Bank University,A,3.0,3.75
St. George's Hospital Medical School,A,2.0,3.0
University of Dundee,A,4.0,2.5
University of Oxford,D,27.0,3.611
Birkbeck College,A,4.0,4.0
The University of Liverpool,B,7.0,3.333
University of Gloucestershire,D,27.0,2.75
University of Strathclyde,B,12.0,3.5
Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,B,12.0,2.25
Cardiff University / Prifysgol Caerdydd,B,9.0,3.5
University of Aberdeen,C,17.0,2.9
University of Sussex,C,23.0,4.0
University of Ulster,C,23.0,3.5
University of Bristol,C,23.0,3.5
"University of Nottingham, The",C,23.0,3.667
Brunel University London,C,23.0,2.25
University of St Mark & St John,C,23.0,3.0
Buckinghamshire New University,B,7.0,
Middlesex University,A,3.0,2.5
Oxford Brookes University,C,14.0,2.75
The University of Birmingham,A,3.0,3.375
The University of Leeds,D,30.0,2.6659999999999995
University of Oxford,B,8.0,3.572
University of Chester,A,4.0,2.5
London School of Hygiene and Tropical Medicine,A,1.0,3.917
University of Plymouth,C,23.0,3.5
University of Exeter,D,28.0,3.8
Cardiff University / Prifysgol Caerdydd,C,19.0,4.0
Anglia Ruskin University Higher Education Corporation,C,14.0,2.333
University of Aberdeen,C,18.0,3.375
University of Edinburgh,C,24.0,3.875
University of Lincoln,C,24.0,2.5
University of Exeter,C,16.0,3.25
"University of Northampton, The",D,32.0,1.75
York St John University,C,23.0,1.5
University of Keele,D,27.0,3.0
Queen's University of Belfast,A,4.0,1.3330000000000002
The University of Hull,A,4.0,3.5
The University of Huddersfield,A,5.0,3.167
School of Oriental and African Studies,D,28.0,3.1659999999999995
University of Greenwich,C,22.0,3.333
Loughborough University,C,19.0,3.167
The University of Kent,C,22.0,3.1659999999999995
The University of Manchester,B,12.0,3.539
University of Northumbria at Newcastle,C,14.0,3.583
University of Wolverhampton,D,33.0,2.25
University of York,C,17.0,3.3
The Open University,B,11.0,2.5
Swansea University / Prifysgol Abertawe,B,11.0,3.333
"University of Nottingham, The",B,9.0,3.8
Loughborough University,C,13.0,3.8329999999999997
The University of Essex,D,27.0,3.5
The University of Leicester,B,9.0,2.8329999999999997
University College London,C,19.0,3.375
University of Oxford,B,11.0,3.667
The University of Huddersfield,B,11.0,2.9999999999999996
University of Sussex,B,11.0,3.5
The University of Birmingham,C,14.0,3.25
University of Newcastle upon Tyne,B,12.0,3.5
University of Brighton,C,14.0,3.25
University of Central Lancashire,C,15.0,2.75
The University of Surrey,B,11.0,2.667
Falmouth University,D,32.0,3.6
"City, University of London",A,4.0,3.0
Sheffield Hallam University,D,32.0,3.8329999999999997
"University of Salford, The",B,11.0,3.25
University of St Andrews,A,5.0,3.0
The University of Huddersfield,A,3.0,2.3
The University of Lancaster,A,4.0,3.667
Swansea University / Prifysgol Abertawe,C,14.0,3.1659999999999995
Robert Gordon University,B,11.0,2.5
Loughborough University,D,32.0,3.571
Anglia Ruskin University Higher Education Corporation,D,27.0,3.5
The University of Huddersfield,C,23.0,3.0
"University of the West of England, Bristol",C,20.0,3.125
Royal Holloway and Bedford New College,C,17.0,3.0829999999999997
The University of East Anglia,C,22.0,4.0
Institute of Cancer Research: Royal Cancer Hospital (The),A,5.0,3.8329999999999997
Bournemouth University,D,27.0,2.75
Queen's University of Belfast,C,23.0,3.8329999999999997
The University of East Anglia,A,2.0,3.5
"University of Nottingham, The",B,10.0,3.5
University of Bristol,B,11.0,3.9
The University of Huddersfield,B,12.0,3.3570000000000007
Robert Gordon University,C,13.0,1.75
Edinburgh Napier University,C,20.0,3.5
University of Gloucestershire,D,32.0,3.75
University of Newcastle upon Tyne,D,32.0,3.5
University of York,D,28.0,3.875
University of South Wales / Prifysgol De Cymru,D,27.0,2.75
Bath Spa University,C,14.0,2.25
Edge Hill University,D,28.0,3.0
Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,C,17.0,3.0
University College London,D,34.0,3.75
The University of Manchester,D,31.0,3.25
The University of Birmingham,A,4.0,3.6
"University of Salford, The",C,13.0,3.25
The University of Essex,C,19.0,3.1
Anglia Ruskin University Higher Education Corporation,C,21.0,3.0
University of Keele,D,33.0,2.5
University College London,D,31.0,2.75
The University of Liverpool,C,13.0,3.5
University of Worcester,C,17.0,2.5
The University of Kent,C,16.0,1.8329999999999997
University of Northumbria at Newcastle,C,24.0,3.8
Cardiff University / Prifysgol Caerdydd,C,23.0,4.0
University of Worcester,C,23.0,1.75
The University of Warwick,C,23.0,3.625
University of Worcester,C,24.0,2.25
Royal Holloway and Bedford New College,D,27.0,3.333
The Open University,C,22.0,3.333
The University of Lancaster,C,23.0,4.0
University of Worcester,A,4.0,1.5
The University of Lancaster,D,26.0,4.0
Anglia Ruskin University Higher Education Corporation,C,20.0,3.5
Aberystwyth University / Prifysgol Aberystwyth,D,26.0,3.0
University of Glasgow,D,32.0,3.8329999999999997
University of Plymouth,C,18.0,3.0
University of Worcester,D,27.0,2.25
Royal Holloway and Bedford New College,D,33.0,3.8329999999999997
Edge Hill University,A,4.0,2.333
The University of Westminster,A,3.0,2.8
Heriot-Watt University,C,17.0,3.1659999999999995
University of the West of Scotland,B,9.0,3.0
Edinburgh Napier University,D,34.0,3.25
The University of Sheffield,C,13.0,3.8329999999999997
University of Sunderland,C,24.0,2.5
University of Wolverhampton,A,3.0,2.25
De Montfort University,B,12.0,3.0
Anglia Ruskin University Higher Education Corporation,D,34.0,3.5
The University of Bath,C,23.0,3.5
University of Edinburgh,C,20.0,3.2149999999999994
Abertay University,C,24.0,2.5
The Open University,D,33.0,3.25
King's College London,D,30.0,2.9999999999999996
University of South Wales / Prifysgol De Cymru,B,11.0,3.25
The University of Warwick,C,17.0,3.389
University College London,D,27.0,3.667
The Open University,D,28.0,3.0
Royal Holloway and Bedford New College,A,3.0,3.0
Staffordshire University,C,20.0,2.25
The University of Essex,C,24.0,3.167
The University of Leeds,C,23.0,3.5
University of Worcester,A,5.0,2.25
University of York,D,26.0,4.0
Cardiff University / Prifysgol Caerdydd,D,34.0,3.8329999999999997
Royal Holloway and Bedford New College,D,34.0,3.25
Anglia Ruskin University Higher Education Corporation,D,32.0,2.75
Canterbury Christ Church University,A,3.0,3.25
Edge Hill University,B,11.0,2.0
Manchester Metropolitan University,A,3.0,3.0000000000000004
The University of East Anglia,A,1.0,3.333
Leeds Trinity University,C,24.0,1.75
University of Greenwich,B,11.0,3.0
Royal Holloway and Bedford New College,D,30.0,2.25
The Open University,D,30.0,2.0
The University of Surrey,C,24.0,3.1659999999999995
The University of Kent,C,19.0,3.125
University of Keele,C,19.0,2.5
The University of Leicester,B,11.0,3.0
Birkbeck College,B,11.0,3.667
The University of East Anglia,C,17.0,3.5
University of St Mark & St John,C,24.0,2.5
Birmingham City University,C,20.0,1.75
The University of Huddersfield,D,26.0,3.0
University College London,D,28.0,3.6
Loughborough University,D,27.0,2.8339999999999996
University of Ulster,D,27.0,3.0
University of Winchester,D,34.0,3.0
The University of Leicester,B,10.0,3.25
Loughborough University,B,11.0,3.667
"University of Nottingham, The",D,25.0,3.5
The Royal Agricultural University,A,6.0,2.0
Robert Gordon University,B,12.0,1.75
Heriot-Watt University,B,11.0,2.9999999999999996
The University of Warwick,B,9.0,3.333
University of York,B,11.0,3.75
University of Bedfordshire,A,3.0,2.3329999999999997
The University of Liverpool,A,6.0,3.5629999999999997
Middlesex University,C,23.0,2.0
The University of Leeds,D,27.0,3.875
Sheffield Hallam University,C,17.0,2.8329999999999997
The University of Manchester,B,9.0,3.8570000000000007
"University of the West of England, Bristol",D,34.0,3.667
University College London,D,30.0,4.0
University of Brighton,C,17.0,3.0
Birmingham City University,B,12.0,2.75
The University of Leeds,D,31.0,3.5
University of Glasgow,C,17.0,3.611
University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,D,31.0,3.25
University of Southampton,D,30.0,4.0
Aston University,D,25.0,3.0
University of Strathclyde,C,18.0,3.3329999999999997
The University of Hull,C,20.0,3.75
University of Durham,D,30.0,3.0
"University of Northampton, The",C,21.0,1.75
University of York,A,4.0,3.25
The University of Leeds,C,17.0,3.611
University of Stirling,A,4.0,3.667
University of St Andrews,B,11.0,3.333
The University of Reading,D,28.0,2.5
University of Wolverhampton,C,24.0,2.75
The University of Warwick,D,26.0,3.0
Queen Mary University of London,D,28.0,3.375
University of St Andrews,D,30.0,2.75
University College of Osteopathy (The),A,3.0,1.5
University of Stirling,D,27.0,3.1659999999999995
University of Chester,C,15.0,1.75
The University of Leicester,D,27.0,3.875
University of Chester,B,10.0,1.25
The University of Sheffield,B,10.0,3.875
"City, University of London",D,34.0,3.5
Robert Gordon University,C,17.0,2.25
London Metropolitan University,C,23.0,1.75
The University of Warwick,D,33.0,3.625
Kingston University,D,27.0,3.0
The University of Huddersfield,D,32.0,2.8329999999999997
The University of Bath,C,20.0,3.875
"University of Nottingham, The",D,28.0,3.5
